ts,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,city_id
2026-09-18 12:00:00,16.0,68.0,0.0,15.7,RU_LED
2026-09-18 13:00:00,16.4,65.0,0.1,15.1,RU_LED
2026-09-18 14:00:00,16.6,62.0,0.1,15.7,RU_LED
2026-09-18 15:00:00,16.6,61.0,0.1,17.0,RU_LED
2026-09-18 16:00:00,16.5,62.0,0.0,16.6,RU_LED
2026-09-18 17:00:00,16.4,64.0,0.0,15.9,RU_LED
2026-09-18 18:00:00,16.0,68.0,0.0,15.4,RU_LED
2026-09-18 19:00:00,15.2,74.0,0.3,15.5,RU_LED
2026-09-18 20:00:00,14.2,83.0,0.3,15.6,RU_LED
2026-09-18 21:00:00,13.5,89.0,0.3,15.6,RU_LED
2026-09-18 22:00:00,13.3,90.0,0.0,15.5,RU_LED
2026-09-18 23:00:00,13.4,87.0,0.0,15.7,RU_LED
2026-09-19 00:00:00,13.5,84.0,0.0,15.8,RU_LED
2026-09-19 01:00:00,13.5,82.0,0.0,15.8,RU_LED
2026-09-19 02:00:00,13.6,80.0,0.0,15.6,RU_LED
2026-09-19 03:00:00,13.6,79.0,0.0,15.5,RU_LED
2026-09-19 04:00:00,13.4,79.0,0.0,15.8,RU_LED
2026-09-19 05:00:00,13.2,80.0,0.0,16.1,RU_LED
2026-09-19 06:00:00,13.2,80.0,0.0,16.3,RU_LED
2026-09-19 07:00:00,13.5,79.0,0.0,15.9,RU_LED
2026-09-19 08:00:00,14.0,79.0,0.0,15.3,RU_LED
2026-09-19 09:00:00,14.6,77.0,0.0,15.4,RU_LED
2026-09-19 10:00:00,15.4,74.0,0.0,16.9,RU_LED
2026-09-19 11:00:00,16.4,70.0,0.0,19.5,RU_LED
2026-09-19 12:00:00,17.1,67.0,0.0,21.4,RU_LED
2026-09-19 13:00:00,17.4,65.0,0.1,21.8,RU_LED
2026-09-19 14:00:00,17.5,64.0,0.1,21.3,RU_LED
2026-09-19 15:00:00,17.5,64.0,0.1,20.4,RU_LED
2026-09-19 16:00:00,17.2,66.0,0.0,18.8,RU_LED
2026-09-19 17:00:00,16.7,70.0,0.0,17.1,RU_LED
2026-09-19 18:00:00,16.3,74.0,0.0,15.5,RU_LED
2026-09-19 19:00:00,15.9,75.0,0.0,15.1,RU_LED
2026-09-19 20:00:00,15.4,75.0,0.0,15.2,RU_LED
2026-09-19 21:00:00,15.0,75.0,0.0,15.1,RU_LED
2026-09-19 22:00:00,14.6,76.0,0.0,14.5,RU_LED
2026-09-19 23:00:00,14.3,76.0,0.0,13.7,RU_LED
2026-09-20 00:00:00,13.9,77.0,0.0,13.1,RU_LED
2026-09-20 01:00:00,13.6,79.0,0.0,13.2,RU_LED
2026-09-20 02:00:00,13.4,82.0,0.0,13.6,RU_LED
2026-09-20 03:00:00,13.1,84.0,0.0,14.0,RU_LED
2026-09-20 04:00:00,12.8,86.0,0.0,14.4,RU_LED
2026-09-20 05:00:00,12.5,88.0,0.0,14.9,RU_LED
2026-09-20 06:00:00,12.5,89.0,0.0,15.5,RU_LED
2026-09-20 07:00:00,12.7,87.0,0.0,16.1,RU_LED
2026-09-20 08:00:00,13.1,83.0,0.0,16.7,RU_LED
2026-09-20 09:00:00,13.7,80.0,0.0,17.1,RU_LED
2026-09-20 10:00:00,14.7,76.0,0.0,17.1,RU_LED
2026-09-20 11:00:00,15.8,73.0,0.0,17.3,RU_LED
2026-09-20 12:00:00,16.8,70.0,0.0,17.6,RU_LED
2026-09-20 13:00:00,17.7,66.0,0.0,17.7,RU_LED
2026-09-20 14:00:00,18.5,63.0,0.0,18.0,RU_LED
2026-09-20 15:00:00,18.9,61.0,0.0,18.4,RU_LED
2026-09-20 16:00:00,18.8,63.0,0.0,19.0,RU_LED
2026-09-20 17:00:00,18.3,66.0,0.0,19.4,RU_LED
2026-09-20 18:00:00,17.7,69.0,0.0,19.2,RU_LED
2026-09-20 19:00:00,17.1,71.0,0.3,18.2,RU_LED
2026-09-20 20:00:00,16.5,72.0,0.3,17.3,RU_LED
2026-09-20 21:00:00,16.0,73.0,0.3,17.1,RU_LED
2026-09-20 22:00:00,15.5,75.0,0.1,15.8,RU_LED
2026-09-20 23:00:00,15.1,79.0,0.1,16.2,RU_LED
2026-09-21 00:00:00,14.8,82.0,0.1,16.8,RU_LED
2026-09-21 01:00:00,14.6,85.0,0.1,17.3,RU_LED
2026-09-21 02:00:00,14.3,88.0,0.1,17.5,RU_LED
2026-09-21 03:00:00,14.1,90.0,0.1,17.3,RU_LED
2026-09-21 04:00:00,13.8,92.0,0.3,16.3,RU_LED
2026-09-21 05:00:00,13.5,95.0,0.3,14.7,RU_LED
2026-09-21 06:00:00,13.3,96.0,0.3,13.0,RU_LED
2026-09-21 07:00:00,13.1,97.0,0.3,11.1,RU_LED
2026-09-21 08:00:00,13.0,96.0,0.3,9.8,RU_LED
2026-09-21 09:00:00,13.2,93.0,0.3,9.2,RU_LED
2026-09-21 10:00:00,13.7,87.0,0.0,9.3,RU_LED
2026-09-21 11:00:00,14.5,77.0,0.0,10.1,RU_LED
2026-09-21 12:00:00,15.5,68.0,0.0,11.1,RU_LED
2026-09-21 13:00:00,16.5,60.0,0.0,12.1,RU_LED
2026-09-21 14:00:00,17.1,55.0,0.0,12.7,RU_LED
2026-09-21 15:00:00,17.3,53.0,0.0,13.0,RU_LED
2026-09-21 16:00:00,16.8,55.0,0.2,12.5,RU_LED
2026-09-21 17:00:00,15.9,60.0,0.2,11.5,RU_LED
2026-09-21 18:00:00,14.6,68.0,0.2,10.2,RU_LED
2026-09-21 19:00:00,13.3,78.0,0.2,8.8,RU_LED
2026-09-21 20:00:00,12.1,87.0,0.2,7.6,RU_LED
2026-09-21 21:00:00,11.3,94.0,0.2,7.0,RU_LED
2026-09-21 22:00:00,10.7,98.0,0.0,6.9,RU_LED
2026-09-21 23:00:00,10.2,100.0,0.0,6.9,RU_LED
